title,authors,year,time_period,species,pesticide,pesticide_type
"Glyphosate, but not its metabolite AMPA, alters the honeybee gut microbiota","Blot et al., 2019",2019,recent,Apis mellifera,AMPA,Herbicide
"Glyphosate, but not its metabolite AMPA, alters the honeybee gut microbiota","Blot et al., 2019",2019,recent,Apis mellifera,Glyphosate,Herbicide
Behavior and gut bacteria of Partamona helleri under sublethal exposure to a bioinsecticide and a leaf fertilizer,"Botina et al., 2019",2019,recent,Partamona helleri,Spinosad,Insecticide
The Herbicide Glyphosate Negatively Affects Midgut Bacterial Communities and Survival of Honey Bee during Larvae Reared in Vitro,"Dai et al., 2018",2018,recent,Apis mellifera,Glyphosate,Herbicide
Honey bee gut microbial communities are robust to the fungicide Pristine® consumed in pollen,"DeGrandi Hoffman et al., 2017",2017,recent,Apis mellifera,Pristine (Boscalid/pyraclostrobin mixture),Fungicide
Alterations in honey bee gut microrganisms cauesd by Nosema spp. and pest control methods,"Diaz et al., 2019",2019,recent,Apis mellifera,Imidacloprid,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Fenitrothion,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Pirimiphos-methyl,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Thiocyclam hydrogen oxalate,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Diflubenzuron,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Folpet,Fungicide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Phthalimide (folpet hydrolysis product),Fungicide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Phosalon,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Bromophos-ethyl,Insecticide
Effect of some pesticides on microorganisms isolated from honey bees,Drobnikova et al 1982,1982,old,Apis mellifera,Pirimicarb,Insecticide
"Bacteria Belonging to the Genus Bacillus Isolated from Honey Bees, Apis mellifera, fed 2,4-D and Antibiotics",Gilliam 1978,1978,old,Apis mellifera,"2,4-D",Herbicide
"Enterobacteriaceae Isolated from Honey Bees, Apis mellifera, Treated with 2,4-D and Antibiotics",Gilliam and Morton 1974,1974,old,Apis mellifera,"2,4-D",Herbicide
"The Mycoflora of Adult Worker Honeybees, Apis mellifera: Effects of 2,4,5-T and Caging of Bee Colonies",Gilliam and Morton 1977,1977,old,Apis mellifera,"2,4,5-T",Herbicide
"Yeasts Isolated from Honey Bees, Apis mellifera, Fed 2,4-D and Antibiotics","Gilliam et al., 1974b",1974,old,Apis mellifera,"2,4-D",Herbicide
"Fungi Isolated from Honey Bees, Apis mellifera, Fed 2,4-D and Antibiotics","Gillliam et al., 1974a",1974,old,Apis mellifera,"2,4-D",Herbicide
Gut microbiota composition is associated with environmental landscape in honey bees.,"Jones et al., 2017",2017,recent,Apis mellifera,Clothianidin,Insecticide
Gut microbiota composition is associated with environmental landscape in honey bees.,"Jones et al., 2017",2017,recent,Apis mellifera,Thiamethoxam,Insecticide
Honey Bee Gut Microbiome Is Altered by In-Hive Pesticide Exposures.,"Kakumanu et al., 2016",2016,recent,Apis mellifera,Chlorothalonil,Fungicide
Honey Bee Gut Microbiome Is Altered by In-Hive Pesticide Exposures.,"Kakumanu et al., 2016",2016,recent,Apis mellifera,Coumaphos,Insecticide
Honey Bee Gut Microbiome Is Altered by In-Hive Pesticide Exposures.,"Kakumanu et al., 2016",2016,recent,Apis mellifera,Tau-fluvalinate,Insecticide
Thiacloprid exposure perturbs the gut microbiota and reduces the survival status in honeybees,"Liu et al., 2019",2019,recent,Apis mellifera,Thiacloprid,Insecticide
Oral and topical exposure to glyphosate in herbicide formulation impact the gut microbiota and survival rates of honey bees,Motta et al. 2020a,2020,recent,Apis mellifera,Glyphosate,Herbicide
"Impact of Glyphosate on the Honey Bee Gut Microbiota : Effects of Intensity , Duration , and Timing of Exposure",Motta et al. 2020b,2020,recent,Apis mellifera,Glyphosate,Herbicide
"Impact of Glyphosate on the Honey Bee Gut Microbiota : Effects of Intensity , Duration , and Timing of Exposure",Motta et al. 2020b,2020,recent,Apis mellifera,Roundup,Herbicide
Glyphosate perturbs the gut microbiota of honey bees.,"Motta et al., 2018",2018,recent,Apis mellifera,Glyphosate,Herbicide
Effect of transient exposure to carbaryl wettable powder on the gut microbial community of honey bees,"Nogrado et al., 2019",2019,recent,Apis mellifera,Carbaryl Powder,Insecticide
Honeybee gut microbiota dysbiosis in pesticide/parasite co-exposures is mainly induced by Nosema ceranae,"Paris et al., 2020",2020,recent,Apis mellifera,Boscalid,Fungicide
Honeybee gut microbiota dysbiosis in pesticide/parasite co-exposures is mainly induced by Nosema ceranae,"Paris et al., 2020",2020,recent,Apis mellifera,Fipronil,Insecticide
Honeybee gut microbiota dysbiosis in pesticide/parasite co-exposures is mainly induced by Nosema ceranae,"Paris et al., 2020",2020,recent,Apis mellifera,Thiamethoxam,Insecticide
Imidacloprid Decreases Honey Bee Survival Rates but Does Not Affect the Gut Microbiome,"Raymann et al., 2018",2018,recent,Apis mellifera,Imidacloprid,Insecticide
The direct and indirect effects of environmental toxicants on the health of bumble bees and their microbiomes.,"Rothman et al., 2020",2020,recent,Bombus impatiens,Imidacloprid,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Coumaphos,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Fipronil,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Imidacloprid,Insecticide
The honeybee gut microbiota is altered after chronic exposure to different families of insecticides and infection by Nosema ceranae,"Rouze et al., 2019",2019,recent,Apis mellifera,Thiamethoxam,Insecticide
Field-level clothianidin exposure affects bumblebees but generally not their pathogens,"Wintermantel et al., 2018",2018,recent,Bombus terrestris,Clothianidin,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis mellifera,Amitraz,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis mellifera,Clorpyrifos,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis cerana,Amitraz,Insecticide
"Effects of three common pesticides on survival, food consuption and midgut bacterial communities of adult workers Apis cerana and Apis mellifera","Yang et al., 2019",2019,recent,Apis cerana,Clorpyrifos,Insecticide
Nitenpyram disturbs gut microbiota and influences metabolic homeostasis and immunity in honey bee (Apis mellifera L.),"Zhu et al., 2020",2020,recent,Apis mellifera,Nitenpyram,Insecticide